Date,Time,Ambient_Air_Temp,Rel_Humidity
17/01/2024,17:31,15.93,62.61
17/01/2024,18:00,13.4,70.18
18/01/2024,9:07,10.51,78.19
18/01/2024,10:10,10.93,81.11
18/01/2024,11:07,13.75,75.12
18/01/2024,12:08,17.26,61.67
18/01/2024,13:09,19.53,52.52
18/01/2024,14:38,16.46,60.55
18/01/2024,15:13,16.39,61.77
18/01/2024,16:11,15.48,63.42
18/01/2024,17:10,14.15,67.15
19/01/2024,9:28,11.25,78.87
19/01/2024,10:36,11.68,76.82
19/01/2024,11:33,14.34,70.94
19/01/2024,12:35,14.69,68.37
19/01/2024,13:35,14.77,66.58
19/01/2024,14:30,14.79,67.64
19/01/2024,15:38,13.34,71.65
19/01/2024,17:05,11.73,75.26
23/01/2024,12:38,16.44,65.35
23/01/2024,13:51,16.99,65.64
23/01/2024,15:09,18.4,59.21
23/01/2024,16:34,16.6,61.59
23/01/2024,17:30,15.52,65.32
24/01/2024,9:34,11.79,80.35
24/01/2024,10:35,11.49,84.88
24/01/2024,12:34,14.65,73.54
24/01/2024,14:21,16.76,62.82
24/01/2024,15:30,16.56,61.46
24/01/2024,16:30,15.6,59.28
24/01/2024,17:30,14.19,61.59
